CAS #,Field #,Locality,County,Sex,Year,SL,CBL,PL,MSW,MW,ML,MFL,MA,RPL,SSI,RMW,CBL/SL
MAM 26703,RB 265,Ano Nuevo Island,San Mateo,Male,1962,NA,287.45,120.77,168.41,142.84,195.91,66.88,0.34,0.42,0.59,0.5,NA
MAM 26704,RB 3943,Rodeo Lagoon Beach,Marin,Male,1995,229,290.86,126.74,152.41,135.12,208.71,72.43,0.35,0.44,0.52,0.46,1.27
MAM 26708,RB 3890,Point Reyes National Seashore,Marin,Male,1995,225,296.82,124.85,156.93,150.02,NA,59.91,NA,0.42,0.53,0.51,1.32
MAM 26689,RB 3800,Ano Nuevo Island,San Mateo,Male,1993,225,286.45,119.16,156.32,149.5,201.94,67.08,0.33,0.42,0.55,0.52,1.27
MAM 26686,RB 2740,Ano Nuevo Point,San Mateo,Male,1979,226.1,276.47,116.04,152.6,137.38,190.91,70.38,0.37,0.42,0.55,0.5,NA
MAM 26683,RB 4477,Moss Beach,San Mateo,Male,1999,242,282.13,116.45,165.19,140.45,196.43,70.11,0.36,0.41,0.59,0.5,1.17
MAM 26690,RB 2935,Ano Nuevo Island,San Mateo,Male,1981,239,298.64,122.19,164.91,157.32,205.26,71.32,0.35,0.41,0.55,0.53,1.25
MAM 26600,RB 3644,Cascade Creek Beach,San Mateo,Male,1991,218,289.5,114.54,164.98,150.95,187.01,57.92,0.31,0.4,0.57,0.52,1.33
MAM 26685,RB 2995,Bradley Beach,San Mateo,Male,1982,234,285.74,125.15,154.6,144.02,199.01,61.53,0.31,0.44,0.54,0.5,1.22
MAM 26422,RB 3403,Ano Nuevo Island,San Mateo,Male,1987,252,303.38,128.93,172.76,169.19,220.44,65.72,0.3,0.42,0.57,0.56,1.2
MAM 26147,RB 2631,Ano Nuevo Island,San Mateo,Male,1978,NA,285.31,112.92,159.08,146.96,189.12,64.46,0.34,0.4,0.56,0.52,NA
MAM 26144,RB 2572,Half Moon Bay,San Mateo,Male,1977,246.4,279.01,112.77,157.71,142.29,192.27,61.91,0.32,0.4,0.57,0.51,NA
MAM 26142,RB 2378,Ano Nuevo Creek,San Mateo,Male,1976,231,284.51,125.46,157.55,152.61,206.08,72.51,0.35,0.44,0.55,0.54,NA
